Resource,Type,Manufacturer,Model,Value,Status
"ELINCHROM 5' UMBRELLA SPEEDRING - SR26","ELINCHROM UMBRELLA SPEEDRING",ELINCHROM,,,Offline
"ELINCHROM POCKETWIZARD CORD",ELINCHROM,,,,Available
"Elinchrom RFI Speedring Adapter - SR28",ELINCHROM,,,,Available
"Elinchrom RFI Speedring Adapter - SR35",ELINCHROM,BRONCOLOR,B-33.400.00,$210.00,Available
"ELIZABETH - 3880 GLOSSY/LUSTER",GLOSSY/LUSTER,EPSON,3880,"$1,130.00","Checked out"
"ENLARGER - EN01",ENLARGERS,,,,Available
"ENLARGER - EN02",ENLARGERS,,,,Available
"ENLARGER - EN03",ENLARGERS,,,,Available
"ENLARGER - EN04",ENLARGERS,,,,Available
"ENLARGER - EN05",ENLARGERS,,,,Available
"ENLARGER - EN06",ENLARGERS,,,,Available
"ENLARGER - EN07",ENLARGERS,,,,Available
"ENLARGER - EN08",ENLARGERS,,,,Available
"ENLARGER - EN09",ENLARGERS,,,,Available
"ENLARGER - EN10",ENLARGERS,,,,Available
"ENLARGER - EN11",ENLARGERS,,,,Available
"ENLARGER - EN12",ENLARGERS,,,,Available
"ENLARGER - EN13",ENLARGERS,,,,Available
"ENLARGER - EN14",ENLARGERS,,,,Available
"ENLARGER - EN15",ENLARGERS,,,,Available
"ENLARGER - EN16",ENLARGERS,,,,Available
"ENLARGER - EN17",ENLARGERS,,,,Available
"ENLARGER - EN18",ENLARGERS,,,,Available
"ENLARGER - EN19",ENLARGERS,,,,Available
"ENLARGER - EN20",ENLARGERS,,,,Available
"EPSON 11880 - 60"" SUPER WIDE","5TH FLOOR PRINTERS",Epson,11880,"$9,995.00",Available
"EPSON DIGITAL PROJECTOR - A14DP","PROJECTORS / MONITORS",EPSON,EMP-54,$12.69,Available
"EPSON F07DP","FINE ARTS DIGITAL PROJECTORS",,,,Available
"EPSON POWERLITE 6100i - A66DP","PROJECTORS / MONITORS",EPSON,"POWERLITE 6100i",,Available
"EPSON POWERLITE EMP61 - F05DP","FINE ARTS DIGITAL PROJECTORS",,,,Available
"EPSON PROJECTOR - A20DP","PROJECTORS / MONITORS",EPSON,EMP-821,$2.00,Offline
"EPSON PROJECTOR - A62DP","PROJECTORS / MONITORS",EPSON,EMP-821,,Available
"EPSON PROJECTOR/MAC MINI - B01EC","PROJECTOR CARTS (FOR STUDIO USE ONLY)",Epson/Mac,"Power Lite 600i/Mac Mini",,Available
"EPSON PROJECTOR/MAC MINI - B02EC ","PROJECTOR CARTS (FOR STUDIO USE ONLY)",Epson/Apple,"PowerLite 600i/MacMini",,Offline
"EPSON X12 F10DP","FINE ARTS DIGITAL PROJECTORS",,,,Available
"Experiments Mac Book Pro - E01LT","LAPTOPS (FOR STUDIO USE ONLY)",APPLE,A1181,"$1,300.00",Available
"EXTENSION ARM","CLAMPS / ARMS / KNUCKLES",,,,Available
"EXTENSION CORD","GRIP EQUIPMENT",,,,Available
"EXTERNAL SPEAKERS - B01SS",SPEAKERS,CREATIVE,"INSPIRE T12",$0.75,Available
"EXTERNAL SPEAKERS - B02SS",SPEAKERS,CREATIVE,"INSPIRE T12",$0.75,Offline
"EXTERNAL SPEAKERS - B03SS",SPEAKERS,CREATIVE,,$50.00,Available
"EXTERNAL SPEAKERS - B04SS",SPEAKERS,CREATIVE,,$50.00,"Checked out"
"EXTERNAL SPEAKERS - B05SS",SPEAKERS,,,,Available
"EXTERNAL SPEAKERS - B06SS",SPEAKERS,,,,Available
"EXTRA BATTERY - BRONCOLOR",BRONCOLOR,,,$3.19,Available
"EXTRA BATTERY - NIKON","NIKON ACCESSORIES",NIKON,,,Available
"EXTRA BATTERY - PROFOTO",PROFOTO,,,$1.50,Available
"EYE-FI WIRELESS SD - B14EF","EYE-FI WIRELESS SD TRANSMITTER",,,,Available
"EYE-FI WIRELESS SD - B15EF","EYE-FI WIRELESS SD TRANSMITTER",,,,Available
"EYE-FI WIRELESS SD - B16EF","EYE-FI WIRELESS SD TRANSMITTER",,,,Available
"EYE-FI WIRELESS SD - B17EF","EYE-FI WIRELESS SD TRANSMITTER",,,,Available
"FACULTY HARDDRIVE - B01FHD","SPECIALTY EQUIPMENT",,,,Available
"FACULTY HARDDRIVE - B02FHD","SPECIALTY EQUIPMENT",,,,Available
"FACULTY HARDDRIVE - B03FHD","SPECIALTY EQUIPMENT",,,,Available
"FACULTY HARDDRIVE - B04FHD","SPECIALTY EQUIPMENT",,,,Available
"FACULTY HARDDRIVE - B05FHD","SPECIALTY EQUIPMENT",,,,Available
"FACULTY HARDDRIVE - B06FHD","SPECIALTY EQUIPMENT",,,,Available
"FEMALE TO MALE SYNC ADAPTOR","STROBE LIGHTING ACCESSORIES",,,,Available
"FESTIVAL IPAD 16GB - A01IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD 16GB - A02IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD 16GB - A03IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD 16GB - A04IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD 16GB - A05IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A06IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A07IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A08IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A09IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A10IP","FESTIVAL IPAD",,,,"Checked out"
"FESTIVAL IPAD AIR 16GB - A11IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A12IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A13IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A14IP","FESTIVAL IPAD",,,,Available
"FESTIVAL IPAD AIR 16GB - A15IP","FESTIVAL IPAD",,,,Available
"Film Changing Bag","LARGE FORMAT ACCESSORIES",,,,Available
"FIREWIRE 400 > 400 CABLE",CABLES,,,,Available
"FIREWIRE 400 > 800 CABLE",CABLES,,,,Available
"FIREWIRE 800 > 800 CABLE",CABLES,,,,Available
"FLAG - BLACK","REFLECTORS / DIFFUSERS/ FLAGS / SCRIMS",,,,Available
"FLEX ARM (FOR SUPER CLAMP)","CLAMPS / ARMS / KNUCKLES",,,,Available
"FLEXTIGHT PRECISION II FILM SCANNER ""JULIUS"" - B06FS","3RD FLOOR SCANNERS",HASSELBLAD,"PRECISION II",$100.00,Offline
"FLIP MINO HD - A11DV","FLIP MINO HD","FLIP VIDEO","MINO HD",$1.80,Available
"FLIP MINO HD - A12DV","FLIP MINO HD","FLIP VIDEO","Mino HD",$1.80,Offline
"FLIP MINO HD - A13DV","FLIP MINO HD","FLIP VIDEO","Mino HD",$1.80,Available
"FLIP MINO HD - A14DV","FLIP MINO HD","FLIP VIDEO","Mino HD",$1.80,Available
"FLIP MINO HD - A15DV","FLIP MINO HD","FLIP VIDEO","Mino HD",$1.80,Offline
"FLOOR PLATE LIGHT HEAD MOUNT - B01FP","GRIP EQUIPMENT",,,,Available
"FM2 55MM MICRO - B99ND","FILM SLR",NIKON,"FM2 ANALOG",$1.75,Offline
"FOLD-OUT SCRIM","FOLD-OUT REFLECTORS / SCRIMS",,,,Available
"FOTOMAN 45PS 90MM KIT - B23VC","LARGE FORMAT",FOTOMAN,"45PS 90MM KIT",$20.65,Available
"FRESNEL 1000 PLUS - B01HH","ARRI KIT 3 HEADS",ARRI,"FRESNEL 1000 PLUS",$5.95,Non-circulating
"FRESNEL 1000 PLUS - B05HH","ARRI KIT 3 HEADS",ARRI,"FRESENL 1000 PLUS",$5.95,Non-circulating
"FRESNEL 1000 PLUS - B09HH","ARRI KIT 3 HEADS",ARRI,"FRESNEL 1000 PLUS",$5.95,Non-circulating
"FUJI 4X5 INSTANT HOLDER - B29VA","FUJI INSTANT HOLDER",FUJI,PA-45,$2.09,Available
"FUJI 4X5 INSTANT HOLDER - B30VA","FUJI INSTANT HOLDER",FUJI,PA-45,$2.09,Available
"FUJI 4X5 INSTANT HOLDER - B31VA","FUJI INSTANT HOLDER",FUJI,PA-45,$2.09,Offline
"FUJI 4x5 QUICKLOAD - B21VA","LARGE FORMAT ACCESSORIES",FUJI,"QUICKLOAD FILM HOLDER",$0.75,Available
"FUJI 645 RANGEFINDER - B02FR","FUJI RANGEFINDER",FUJI,GS645,$5.00,Offline
"FUJI 6X7 RANGEFINDER - B03FR","FUJI RANGEFINDER",FUJI,GW6702,$10.00,Available
"FUJI 6X9 RANGEFINDER - B01FR","FUJI RANGEFINDER",FUJI,GW690III,$10.00,Available
"FUJI COMPACT XPRO1 FLASH B01FF","FUJI ACCESSORIES",,EF-X20,,Available
"FUJI COMPACT XPRO 1 FLASH B02FF","FUJI ACCESSORIES",,EF-X20,,Available
"FUJINON-EX 75MM F4.5 ENLARGING LENS - B19EL",75MM,,,,Available
"FUJINON-EX 75MM F4.5 ENLARGING LENS - B20EL",75MM,,,,Available
"G6 POINT & SHOOT - A08CD","POINT AND SHOOT",CANON,G6/PC1089,$5.83,Offline
"G6 POINT & SHOOT - B98CD","POINT AND SHOOT",CANON,G6,$2.50,Offline
"Gallery iMac A-01-IM","FESTIVAL EQUIPMENT",,A1312,,Available
"Gallery iMac A-02-IM","FESTIVAL EQUIPMENT",,A1312,,Available
"GEL HOLDER",GELS,,,,Available
"GELS - COLOR CORRECTION",GELS,,,,Available
"GELS - DIFFUSION",GELS,,,,Available
"GELS - VIVID COLOR",GELS,,,,Available
"GIANT UMBRELLA DIFFUSER SOCK - B01DS","STROBE LIGHTING ACCESSORIES",,,,Available
"GITZO CARBON TRIPOD W/ PAN TILT - B18TP","SMALL TRIPODS",GITZO,"GITZO GT3530LS",$8.13,Offline
"GOPRO HERO4 BLACK - B01GP",VIDEO,GOPRO,"HERO4 BLACK",$430.00,Available
"GOPRO HERO4 BLACK - B02GP",VIDEO,GOPRO,"HERO4 BLACK",$430.00,Available
"GOSSEN DIGIPRO F - B21LM","LIGHT METERS",GOSSEN,"DIGIPRO F",$2.40,Available
"GOSSEN DIGIPRO F - B22LM","LIGHT METERS",GOSSEN,"DIGIPRO F",$2.40,Available
"GOSSEN DIGIPRO F - B24LM","LIGHT METERS",GOSSEN,"DIGIPRO F",$2.40,Available
"GRAINS FOCUSING SCOPE - GS01","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS02","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS03","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS04","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS05","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS06","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS07","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS08","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS09","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS10","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS11","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS12","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS13","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS14","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS15","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS16","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS17","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GRAINS FOCUSING SCOPE - GS18","GRAIN FOCUSERS","MINI SIGHT",,$30.00,Available
"GREEN SCREEN 9' x 20' - B01GS","GREEN SCREENS",,,,Available
"GREEN SCREEN 9' x 20'  - B02GS","GREEN SCREENS",WESTCOTT,,,Available
"Green Screen C-Stand B01GS","GREEN SCREENS",,,,Available
"GREY CARD","GREY CARDS / COLOR CHECKER",,,,Available
"GRID HOLDER",PROFOTO,,,$1.93,Available
"GRID KIT 1",BRONCOLOR,,,$3.23,Available
"GRID KIT 2",ELINCHROM,,,$0.54,Available
"GRID KIT 3",PROFOTO,,,$3.72,Available
"GRIP ACTION BALL HEAD - B16TH","PHOTO TRIPODS",MANFROTTO,322RC2,$1.25,Non-circulating
"GRIP ACTION BALL HEAD - B17TH","PHOTO TRIPODS",MANFROTTO,322RC2,$1.25,Non-circulating
"GRIP HEAD (KNUCKLE)","CLAMPS / ARMS / KNUCKLES",,,,Available
"HAND CART","GRIP EQUIPMENT",,,$100.00,Available
"HANDHELD BOOM AND MIC - A01MC",AUDIO,,,,Available
"HANDHELD BOOMPOLE","HANDHELD BOOM POLE",,,,Available
"HANDHELD BOOM POLE (MFA FINE ART) - F07MC","HANDHELD BOOM POLES AND STANDS",,,,Offline
"HASSELBLAD 343 FILM SCANNER ""CORINNE"" - B05FS","3RD FLOOR SCANNERS",HASSELBLAD,343,$130.00,Non-circulating
"HASSELBLAD CFV 50C DIGITAL BACK - B01HD","HASSELBLAD DIGITAL BACK KIT",HASSELBLAD,CFV-50C,"$15,500.00",Non-circulating
"HASSELBLAD CFV 50C DIGITAL KIT - B01HD","HASSELBLAD DIGITAL BACK KIT",,,,Available
"HASSELBLAD KIT #10 - B10HK","HASSELBLAD KIT WITH MOTOR WINDER",HASSELBLAD,"553ELX - DIGITAL",$7.00,Available
"HASSELBLAD KIT #11 - B11HK","HASSELBLAD KIT",HASSELBLAD,501CM,$16.00,Offline
"HASSELBLAD KIT #12 - B12HK","HASSELBLAD KIT",HASSELBLAD,501CM,$20.00,Available
"HASSELBLAD KIT #13 - B13HK","HASSELBLAD KIT",HASSELBLAD,500CM,$300.00,Available
"HASSELBLAD KIT #14 - B14HK","HASSELBLAD KIT",HASSELBLAD,500CM,$300.00,Offline
"HASSELBLAD KIT #15 - B15HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #16 - B16HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #17 - B17HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #18 - B18HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #19 - B19HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #1 - B01HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #20 - B20HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Offline
"HASSELBLAD KIT #21 - B21HK","HASSELBLAD KIT",HASSELBLAD,500CM,$300.00,"Checked out"
"HASSELBLAD KIT #22 - B22HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Offline
"HASSELBLAD KIT #23 - B23HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #24 - B24HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #25 - B25HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #26 - B26HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #27 - B27HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #28 - B28HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #29 - B29HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Offline
"HASSELBLAD KIT #2 - B02HK","HASSELBLAD KIT",HASSELBLAD,501CM,$15.99,Available
"HASSELBLAD KIT #31 - B31HK","HASSELBLAD KIT",HASSELBLAD,500C,$250.00,Available
"HASSELBLAD KIT #32 - B32HK","HASSELBLAD KIT",HASSELBLAD,500CM,$250.00,Available
"HASSELBLAD KIT #33 - B33HK","HASSELBLAD KIT",HASSELBLAD,500C,$250.00,Available
"HASSELBLAD KIT #3 - B03HK","HASSELBLAD KIT",HASSELBLAD,501C,$5.50,Available
"HASSELBLAD KIT #4 - B04HK","HASSELBLAD KIT",HASSELBLAD,503CW,$27.00,Offline
"HASSELBLAD KIT #5 - B05HK","HASSELBLAD KIT",HASSELBLAD,501CM,$16.00,Offline
"HASSELBLAD KIT #6 - B06HK","HASSELBLAD KIT",HASSELBLAD,501CM,$16.00,Offline
"HASSELBLAD KIT #7 - B07HK","HASSELBLAD KIT",HASSELBLAD,501CM,$16.00,Available
"HASSELBLAD KIT #8 - B08HK","HASSELBLAD KIT",HASSELBLAD,501CM,$16.00,Available
"HASSELBLAD KIT #9 - B09HK","HASSELBLAD KIT",HASSELBLAD,,$166.00,Available
"HASSELBLAD KIT - M01HK","MFA PHOTO 3 DAY RENTALS",HASSELBLAD,501CM,$16.99,Available
"HASSELBLAD PRISM FINDER - B21HA","HASSELBLAD ACCESSORIES",,,,Offline
"HDMI CABLE","FESTIVAL EQUIPMENT",,,,Available
"HDMI CABLE 1",CABLES,,,,Available
"HDMI CABLE 2",CABLES,,,,Available
"HDMI-MINI to VGA Adapter - B60DA",ADAPTERS,,,,Available
"HDMI-MINI to VGA Adapter - B61DA",ADAPTERS,,,,Available
"HDR-AS30V B07SV","SONY ACTION CAMERA",,,,Available
"HDR-AS30V B08SV","SONY ACTION CAMERA",,,,Available
"HDR-TD20V (3D) - B05SV","SONY VIDEO HDR-TD20V (3D)",SONY,"HDR-TD20V (3D)",,Available
"HDR-TD20V (3D) - B06SV","SONY VIDEO HDR-TD20V (3D)",SONY,"HDR-TD20V (3D)",,Available
"HeadPhones HP01","FESTIVAL AUDIO",,,,Available
"HeadPhones HP02","FESTIVAL AUDIO",,,,Available
"HeadPhones HP03","FESTIVAL AUDIO",,,,Available
"HEISENBERG 7900 - 24"" GLOSSY/LUSTER","LARGE FORMAT",Epson,7900,"$5,999.00",Available
"HELIUM TANK","Jessica Irish's Course (CDT)",,,,Available
"HOLGA 3D STEREO PINHOLE 120 CAMERA - B01HG",HOLGAS,,,$0.02,Available
"HOLGA 3D STEREO PINHOLE 120 CAMERA - B02HG",HOLGAS,,,$0.02,Available
"HOLGA 3D STEREO PINHOLE 120 CAMERA - B03HG",HOLGAS,,,$0.02,Available
"HOLGA BLACK 120 CAMERA - B08HG",HOLGAS,,,$0.02,Available
"HOLGA BLACK 120 CAMERA - B09HG",HOLGAS,,,$0.02,Available
"HOLGA BLACK 120 CAMERA - B10HG",HOLGAS,,,$0.02,Available
"HOLGA BLACK 120 CAMERA - B11HG",HOLGAS,,,$0.02,Available
"HOLGA SILVER 120 CAMERA - B04HG",HOLGAS,,,$0.02,Available
"HOLGA SILVER 120 CAMERA - B05HG",HOLGAS,,,$0.02,Available
"HOLGA SILVER 120 CAMERA - B06HG",HOLGAS,,,$0.02,Available
"HOLGA SILVER 120 CAMERA - B07HG",HOLGAS,,,$0.02,Available
"HOT SHOE ADAPTORS","HANDHELD FLASH ACCESSORIES",,,,Available
"HOT SHOE MOUNT","ZOOM H4N ACCESSORIES",,,,Available
"HP Z3200 44 INCH","OPEN LAB PRINTERS","Hewlett Packard",Z3200,"$5,324.00",Available
"HP ZR3200 DICK G/L - B13EP","OPEN LAB PRINTERS","Hewlett Packard",Z3200,"$4,900.00",Offline
"IMACON 949 FILM SCANNER ""LARRY"" - B02FS","949 & X1 & X5",FLEXTIGHT,949,$130.00,Available
"IMACON X1 FILM SCANNER ""HELEN"" - B04FS","949 & X1 & X5",HASSELBLAD,X1,$130.00,Available
"IMACON X5 FILM SCANNER ""LOUISE"" - B01FS - MFA & SENIORS ONLY!!!!","X5 - MFA & SENIORS ONLY!",HASSELBLAD,X5,$199.50,Available
"IMACON X5 FILM SCANNER ""ROY"" - B03FS","949 & X1 & X5",HASSELBLAD,949,$130.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B01GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B02GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B03GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B04GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B05GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B06GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B07GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,"Checked out"
"IMPACT ADJUSTABLE GEL HOLDER - B08GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B09GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B10GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B11GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B12GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPACT ADJUSTABLE GEL HOLDER - B13GH",GELS,IMPACT,"UNIVERSAL FILTER HOLDER",$40.00,Available
"IMPECCA DUAL SCREEN PORTABLE DVD PLAYER - F05MP","PORTABLE DVD PLAYERS",,,,Available
"INDURO BALL HEAD - B21TH","PHOTO TRIPODS",INDURO,BHD2,$1.50,Non-circulating
"INDURO CT313 CARBON TRIPOD - B14TP","MEDIUM TRIPODS",INDURO,CT313,$543.00,Offline
"INDURO CT314 CARBON TRIPOD - B01TP","MEDIUM TRIPODS",INDURO,CT314,$2.60,Available
"INDURO CT314 CARBON TRIPOD - B02TP","MEDIUM TRIPODS",,,,Available
"INDURO CT314 CARBON TRIPOD - B04TP","MEDIUM TRIPODS",MANFROTTO,475B,$2.60,Available
"INDURO CT314 CARBON TRIPOD - B05TP","MEDIUM TRIPODS",INDURO,CT314,$2.60,Available
"INDURO CT314 CARBON TRIPOD - B06TP","MEDIUM TRIPODS",INDURO,CT314,$2.60,Available
"INDURO CT314 CARBON TRIPOD - B07TP","MEDIUM TRIPODS",INDURO,CT314,$2.60,"Checked out"
"INDURO CT314 CARBON TRIPOD - B09TP","MEDIUM TRIPODS",INDURO,CT314,$2.60,Offline
"INDURO CT314 CARBON TRIPOD - B10TP","MEDIUM TRIPODS",INDURO,CT314,$2.60,Available
"INDURO CT314 CARBON TRIPOD - B12TP","MEDIUM TRIPODS",INDURO,CT314,$0.00,"Checked out"
"INDURO CT314 CARBON TRIPOD - B15TP","MEDIUM TRIPODS",,,,Offline
"INDURO CT314 CARBON TRIPOD - B17TP","MEDIUM TRIPODS",INDURO,CT314,,Available
"INDURO CT314 CARBON TRIPOD - B19TP","MEDIUM TRIPODS",,,,Available
"INDURO CT314 CARBON TRIPOD - B21TP","MEDIUM TRIPODS",INDURO,CT314,,Available
"INDURO CT314 CARBON TRIPOD - B42TP","MEDIUM TRIPODS",INDURO,CT314,,Offline
"INFOCUS DIGITAL PROJECTOR - A09DP","PROJECTORS / MONITORS",INFOCUS,X2,$5.49,Available
"INFOCUS DIGITAL PROJECTOR - A10DP","PROJECTORS / MONITORS",INFOCUS,X2,$8.50,Offline
"INFOCUS X2 CABLES - A09DP","PROJECTOR CABLE PACK",,,,Non-circulating
"INFOCUS X2 CABLES - A10DP","PROJECTOR CABLE PACK",,,,Non-circulating
"IVIEW 1800HDII (DVD/USB/CARD SLOTS) - F03MP","FINE ARTS DVD PLAYERS",,,,Available
"JERK STOPPER - CANON 5D MARK II TETHER COVER",TETHERING,,,,Available
J-HOOKS,"GRIP EQUIPMENT",,,,Available
"JIM MORRISON 7900 - 24"" MATTE","LARGE FORMAT",Epson,7900,"$5,999.00",Available
"JVC DRMV5 (DVD/VHS) - F01MP","FINE ARTS DUAL DECK DVD PLAYERS",,,,Offline
"JVC HRXVC1U (DVD/VHS) - A05MP","DUAL DECK (DVD/VHS)",,,,Available
"JVC HR-XVC25U (DVD/VHS) - F02MP","FINE ARTS DUAL DECK DVD PLAYERS",,,,Available
"JVC HRXVC27U (DVD/VHS) - A04MP","DUAL DECK (DVD/VHS)",,,,Available
"JVC VIDEO - M04DV","MFA PHOTO 3 DAY RENTALS",JVC,"HD HANDYCAM GR-HD1U",$40.00,Non-circulating
"JVC XVN510 (DVD) - F08MP","DVD PLAYERS",,,,Offline
"KIM K 9900 - 44"" GLOSSY/LUSTER","LARGE FORMAT",Epson,9900,"$5,999.00",Available
"KODAK 4x5 READYLOAD - B20VA","LARGE FORMAT ACCESSORIES",KODAK,"45 READYLOAD",$1.35,Available
"KODAK SLIDE PROJECTOR","35MM SLIDE PROJECTORS",,,,Available
"LAMP EXTENSION CABLE",PROFOTO,PROFOTO,,$2.49,Available
"LARGE TRIPOD W/ PAN/TILT HEAD","LARGE TRIPODS",MANFROTTO,475B,$2.60,Offline
"LARGE TRIPOD W/ PAN/TILT HEAD -","LARGE TRIPODS",MANFROTTO,475B,$2.60,Offline
"LARGE TRIPOD W/ PAN/TILT HEAD - B22TP","LARGE TRIPODS",MANFROTTO,475B,$2.60,Available
"LARGE TRIPOD W/ PAN/TILT HEAD - B27TP","LARGE TRIPODS",MANFROTTO,3046,$2.60,Offline
"Lastolite Ezybox","HANDHELD FLASH ACCESSORIES",,,,Available
"LEAF APTUS-II 6 28MP DIGITAL BACK - B02AB","645 AFD ACCESSORIES",,"APTUS-II 6",,Non-circulating
"LEAF APTUS-II 8 40MP DIGITAL BACK - B01AB","645 AFD ACCESSORIES",,,,Non-circulating
"LED LIGHT PANEL - A01LP","LED LIGHT PANELS","LIGHT PANELS","MICRO KIT",,Available
"LED LIGHT PANEL - A02LP","LED LIGHT PANELS","LITE PANELS","MICRO KIT",,Available
"LED LIGHT PANEL - A03LP","LED LIGHT PANELS","LIGHT PANELS","MICRO KIT",,"Checked out"
"LED LIGHT PANEL - A04LP","LED LIGHT PANELS","LIGHT PANELS","MICRO KIT",,Available
"LED POCKET PROJECTOR A01PP","LED PICO Pocket Projector",,,,Offline
"LED POCKET PROJECTOR A02PP","LED PICO Pocket Projector",,,,Available
"LED POCKET PROJECTOR A03PP","LED PICO Pocket Projector",,,$120.00,Offline
"LEICA M7 RANGEFINDER 50MM - B01XL","LEICA RANGEFINDER W/50MM",LEICA,M7,$65.00,Available
"LENS HOOD - B01HA","LENS HOOD",HASSELBLAD,"LENS HOOD",$1.50,Available
"LENS HOOD - B02HA","LENS HOOD",HASSELBLAD,"LENS HOOD",$1.50,Available
"LENS HOOD - B03HA","LENS HOOD",HASSELBLAD,"LENS HOOD",$1.50,Available
L-GRIP,"GRIP EQUIPMENT",,,,Available
"L-GRIP - B01LG",L-GRIP,,,,Available
"L-GRIP - B02LG",L-GRIP,,,,Available
