Resource,Type,Manufacturer,Model,Value,Status
"18-55MM 3.5-5.6 - B16SL","SONY LENSES",SONY,SEL1855,$298.00,Non-circulating
"18-55MM 3.5-5.6 - B19SL","SONY LENSES",SONY,NEX7K/B,$298.00,Non-circulating
"18-55MM - B15CL","CANON KIT LENSES",CANON,"18-55MM ",$2.00,Non-circulating
"18-55MM - B16CL","CANON KIT LENSES",CANON,"18-55MM ",$2.00,Non-circulating
"18-55MM - B17CL","CANON KIT LENSES",CANON,"EFS 18-55MM",$1.44,Non-circulating
"18-55MM - B23SL","SONY LENSES",SONY,SEL1855,$298.00,Non-circulating
"18-55MM - B34CL","CANON KIT LENSES",CANON,18-55MM,$1.44,Non-circulating
"1D MARK IV 24-105MM - B79CD","1D MARK IV",CANON,"CANON 1D MARK IV W/ 24-105",$46.43,Available
"1D MARK IV 24-70MM - B78CD","1D MARK IV",CANON,"CANON 1D MARK IV W/ 24-70",$46.43,Available
"1DS 28-135MM - A25CD",1DS,CANON,1DS,$31.00,Available
"1DS 28-235MM - A24CD",1DS,CANON,1DS,$31.00,Available
"1DS MARK II 24-105MM - B14CD - DOES NOT TETHER","1DS MARK II",CANON,"1DS MARK II",$27.00,Available
"1DS MARK II 24-70MM - B15CD - DOES NOT TETHER","1DS MARK II",CANON,"1DS MARK II",$28.00,Available
"1DS MARK III 24-70MM - B17CD","1DS MARK III",CANON,"1DS MARK III",$75.00,Available
"1 X 4 SOFTBOX","STROBE LIGHTING ACCESSORIES",,,,Available
"1x4 STRIP SOFTBOX - SB141","PROFOTO STRIP SOFTBOXES",PROFOTO,,$4.80,Available
"1x4 STRIP SOFTBOX - SB142","PROFOTO STRIP SOFTBOXES",CHIMERA,,$4.80,Available
"1x4 STRIP SOFTBOX - SB143","PROFOTO STRIP SOFTBOXES",PROFOTO,,$4.80,Available
"1x4 STRIP SOFTBOX - SB144","PROFOTO STRIP SOFTBOXES",PROFOTO,,$4.80,Offline
"1 X 6 SOFTBOX","STROBE LIGHTING ACCESSORIES",,,,Available
"1x6 STRIP SOFTBOX (RFI) - SB163","PROFOTO STRIP SOFTBOXES",PROFOTO,,$7.20,Available
"1x6 STRIP SOFTBOX (RFI) - SB164","PROFOTO STRIP SOFTBOXES",,,,Offline
"1x6 STRIP SOFTBOX - SB161","PROFOTO STRIP SOFTBOXES",PROFOTO,,$4.05,Offline
"1x6 STRIP SOFTBOX - SB162","PROFOTO STRIP SOFTBOXES",PROFOTO,,$4.05,Offline
"2016 Mac Mini A-30-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-31-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-32-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-33-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-34-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-35-MM","FESTIVAL MAC MINIS",,A1347,,Available
